"","Division","Colour","Alpha","Favourite","Prob"
"1","Canberra","#FF0000F0",0.941747572815534,"ALP",0.970873786407767
"2","Fraser","#FF0000FA",0.98019801980198,"ALP",0.99009900990099
"3","Banks","#0000FFAF",0.687459599769231,"Coalition",0.843729799884615
"4","Barton","#FF000094",0.581525979,"ALP",0.7907629895
"5","Bennelong","#0000FFE3",0.889682539888889,"Coalition",0.944841269944444
"6","Berowra","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"7","Blaxland","#FF0000E7",0.904761904761905,"ALP",0.952380952380952
"8","Bradfield","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"9","Calare","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"10","Charlton","#FF0000FA",0.98019801980198,"ALP",0.99009900990099
"11","Chifley","#FF0000E1",0.882467532818182,"ALP",0.941233766409091
"12","Cook","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"13","Cowper","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"14","Cunningham","#FF0000F5",0.96078431372549,"ALP",0.980392156862745
"15","Dobell","#0000FFB6",0.712710084625,"Coalition",0.8563550423125
"16","Eden-Monaro","#FF000022",0.133783783783783,"ALP",0.566891891891891
"17","Farrer","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"18","Fowler","#FF0000DF",0.875510204571428,"ALP",0.937755102285714
"19","Gilmore","#0000FFE3",0.889682539888889,"Coalition",0.944841269944444
"20","Grayndler","#FF0000FA",0.98019801980198,"ALP",0.99009900990099
"21","Greenway","#0000FFAF",0.687459599769231,"Coalition",0.843729799884615
"22","Hughes","#0000FFF5",0.96078431372549,"Coalition",0.980392156862745
"23","Hume","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"24","Hunter","#FF0000EB",0.923076923076923,"ALP",0.961538461538461
"25","Kingsford Smith","#FF000022",0.133783783783783,"ALP",0.566891891891891
"26","Lindsay","#0000FFE3",0.889682539888889,"Coalition",0.944841269944444
"27","Lyne","#0000FFF5",0.96078431372549,"Coalition",0.980392156862745
"28","Macarthur","#0000FFE7",0.904761904761905,"Coalition",0.952380952380952
"29","Mackellar","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"30","Macquarie","#0000FFE1",0.882467532818182,"Coalition",0.941233766409091
"31","McMahon","#FF0000B6",0.712710084625,"ALP",0.8563550423125
"32","Mitchell","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"33","New England","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"34","Newcastle","#FF0000DD",0.865527951,"ALP",0.9327639755
"35","North Sydney","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"36","Page","#FF000085",0.522084366806451,"ALP",0.761042183403226
"37","Parkes","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"38","Parramatta","#FF000045",0.272527472428571,"ALP",0.636263736214286
"39","Paterson","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"40","Reid","#0000FFD9",0.851801738491526,"Coalition",0.925900869245763
"41","Richmond","#FF0000C0",0.752100841,"ALP",0.8760504205
