SeatCd,State,Seat,Location_DS,Metro/Regional,Sydney,Melbourne,Brisbane,Adelaide,Perth
137,WA,CANNING,South-East Perth,Metro,0,0,0,0,1
138,WA,COWAN,Northern Perth,Metro,0,0,0,0,1
139,WA,CURTIN,Inner Perth,Metro,0,0,0,0,1
140,WA,DURACK,"Northern WA, Kununurra, Broome, Geraldton",Regional,0,0,0,0,0
141,WA,FORREST,South-West WA,Regional,0,0,0,0,0
142,WA,FREMANTLE,"Southern Perth, Fremantle",Metro,0,0,0,0,1
143,WA,HASLUCK,Eastern Perth,Metro,0,0,0,0,1
144,WA,MOORE,Northern Perth,Metro,0,0,0,0,1
145,WA,O'CONNOR,"East WA, Kalgoorlie, Albany, Esperance",Regional,0,0,0,0,0
146,WA,PEARCE,Northern Perth,Metro,0,0,0,0,1
147,WA,PERTH,Inner Perth,Metro,0,0,0,0,1
148,WA,STIRLING,Northern Perth,Metro,0,0,0,0,1
149,WA,SWAN,Inner Perth,Metro,0,0,0,0,1
150,WA,TANGNEY,Southern Perth,Metro,0,0,0,0,1
