"","Division","Colour","Alpha","Favourite","Prob"
"1","Canberra","#FF0000F0",0.941747572815534,"ALP",0.970873786407767
"2","Fraser","#FF0000FA",0.98019801980198,"ALP",0.99009900990099
"3","Banks","#0000FFBE",0.744397760333333,"Coalition",0.872198880166667
"4","Barton","#FF00007B",0.480418162517241,"ALP",0.740209081258621
"5","Bennelong","#0000FFDE",0.870767196111111,"Coalition",0.935383598055555
"6","Berowra","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"7","Blaxland","#FF0000E1",0.881275033598131,"ALP",0.940637516799065
"8","Bradfield","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"9","Calare","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"10","Charlton","#FF0000FA",0.98019801980198,"ALP",0.99009900990099
"11","Chifley","#FF0000D9",0.850324675909091,"ALP",0.925162337954545
"12","Cook","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"13","Cowper","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"14","Cunningham","#FF0000F5",0.96078431372549,"ALP",0.980392156862745
"15","Dobell","#0000FFAC",0.676050421,"Coalition",0.8380252105
"16","Eden-Monaro","#0000FF5A",0.3519230775,"Coalition",0.67596153875
"17","Farrer","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"18","Fowler","#FF0000D4",0.830612245714286,"ALP",0.915306122857143
"19","Gilmore","#0000FFE1",0.881275033598131,"Coalition",0.940637516799065
"20","Grayndler","#FF0000FA",0.98019801980198,"ALP",0.99009900990099
"21","Greenway","#0000FF9C",0.612960569307692,"Coalition",0.806480284653846
"22","Hughes","#0000FFF5",0.96078431372549,"Coalition",0.980392156862745
"23","Hume","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"24","Hunter","#FF0000EB",0.923076923076923,"ALP",0.961538461538461
"25","Kingsford Smith","#FF00001B",0.107432432432432,"ALP",0.553716216216216
"26","Lindsay","#0000FFDE",0.870767196111111,"Coalition",0.935383598055555
"27","Lyne","#0000FFF5",0.96078431372549,"Coalition",0.980392156862745
"28","Macarthur","#0000FFE7",0.904761904761905,"Coalition",0.952380952380952
"29","Mackellar","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"30","Macquarie","#0000FFD9",0.850324675909091,"Coalition",0.925162337954545
"31","McMahon","#FF0000A3",0.637605042625,"ALP",0.8188025213125
"32","Mitchell","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"33","New England","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"34","Newcastle","#FF0000CD",0.802329193695652,"ALP",0.901164596847826
"35","North Sydney","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"36","Page","#FF000068",0.406203474677419,"ALP",0.70310173733871
"37","Parkes","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"38","Parramatta","#FF000035",0.207692307857143,"ALP",0.603846153928571
"39","Paterson","#0000FFFA",0.98019801980198,"Coalition",0.99009900990099
"40","Reid","#0000FFC5",0.773358497338983,"Coalition",0.886679248669492
"41","Richmond","#FF0000AC",0.676050421,"ALP",0.8380252105
