"","V1","V2","V3","V4","V5","V6"
"113",0,1,1.5,1,0,-0.5
"114",-7.5,-6.5,-6,-6.5,-7.5,-8
"115",-13.5,-12.5,-12,-12.5,-13.5,-14
"116",-9,-8,-7.5,-8,-9,-9.5
"117",-4.5,-3.5,-3,-3.5,-4.5,-5
"118",-7.5,-6.5,-6,-6.5,-7.5,-8
"119",-1.5,-0.5,0,-0.5,-1.5,-2
"120",-6,-5,-4.5,-5,-6,-6.5
"121",-9,-8,-7.5,-8,-9,-9.5
"122",-9,-8,-7.5,-8,-9,-9.5
"123",-3,-2,-1.5,-2,-3,-3.5
"124",-13.5,-12.5,-12,-12.5,-13.5,-14
"125",-16.5,-15.5,-15,-15.5,-16.5,-17
"126",-12,-11,-10.5,-11,-12,-12.5
"127",-3,-2,-1.5,-2,-3,-3.5
"128",-1.5,-0.5,0,-0.5,-1.5,-2
"129",-10.5,-9.5,-9,-9.5,-10.5,-11
"130",-9,-8,-7.5,-8,-9,-9.5
"131",-7.5,-6.5,-6,-6.5,-7.5,-8
"132",-4.5,-3.5,-3,-3.5,-4.5,-5
"133",-10.5,-9.5,-9,-9.5,-10.5,-11
"134",-16.5,-15.5,-15,-15.5,-16.5,-17
"135",-10.5,-9.5,-9,-9.5,-10.5,-11
"136",-26.625,-25.625,-25.125,-25.625,-26.625,-27.125
"137",-23.625,-22.625,-22.125,-22.625,-23.625,-24.125
"138",-25.125,-24.125,-23.625,-24.125,-25.125,-25.625
"139",-29.625,-28.625,-28.125,-28.625,-29.625,-30.125
"140",-23.625,-22.625,-22.125,-22.625,-23.625,-24.125
"141",-23.625,-22.625,-22.125,-22.625,-23.625,-24.125
"142",-28.125,-27.125,-26.625,-27.125,-28.125,-28.625
"143",-25.125,-24.125,-23.625,-24.125,-25.125,-25.625
"144",-28.125,-27.125,-26.625,-27.125,-28.125,-28.625
"145",-22.125,-21.125,-20.625,-21.125,-22.125,-22.625
"146",-22.125,-21.125,-20.625,-21.125,-22.125,-22.625
"147",-25.125,-24.125,-23.625,-24.125,-25.125,-25.625
"148",-26.625,-25.625,-25.125,-25.625,-26.625,-27.125
"149",-26.625,-25.625,-25.125,-25.625,-26.625,-27.125
"150",-28.125,-27.125,-26.625,-27.125,-28.125,-28.625
